cell_id,checkup_num_x,discharge_capacity_ah,duration_s_x,mean_current_a_x,min_voltage_v_x,checkup_num_y,bol_capacity_ah,duration_s_y,mean_current_a_y,min_voltage_v_y,soh
AC01,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,1.0
AC01,1,55.91300757153416,11975.144000000002,27.93696405232274,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.9899332940312489
AC01,2,55.450377251506644,18275.024000000005,27.620310005940592,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.9817424780384292
AC01,4,52.188336793041394,10700.773000000001,27.743209959358285,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.923988431233125
AC01,5,50.61765891594778,10563.947999999999,25.874018274898372,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.8961797621547531
AC01,6,49.73878790914279,10591.02,27.35755769505056,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.8806194532287501
AC01,7,48.817691044721116,10417.076000000001,26.70409732223983,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.864311540406278
AC01,8,46.26555418984833,15677.272999999997,18.16001748020718,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.8191262543110795
AC01,9,43.118922504873886,39500.831000000006,11.268649694134409,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.7634155064135598
AC01,11,36.038666423518606,23520.236,16.579099045504584,2.50009,0,56.48159114221001,11070.408,27.547249422222226,2.50009,0.6380603962232585
AC02,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,1.0
AC02,1,55.6932187927286,11065.652,32.37885733503401,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.9856811571994228
AC02,2,55.212426092476115,11051.363,32.114849354166665,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.9771718931376413
AC02,3,54.26050661749335,11030.053999999998,31.620467653192737,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.9603244364813169
AC02,4,52.14308544192112,10787.409,29.767081901904213,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.9228494583805883
AC02,5,50.54926625868722,10531.382,31.866283469924813,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.8946414005424634
AC02,6,49.8010899040811,10583.126,30.907497394417476,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.8813998722023257
AC02,7,49.12723512903306,10477.797,30.73207192208589,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.8694737172978003
AC02,9,45.38837251120527,16680.439,18.5511937509758,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.8033018114242019
AC02,10,44.31896268192639,28894.493,21.296120650248533,2.500163,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.7843749628617757
AC02,11,42.640895789366944,30355.682999999997,28.01664842137974,2.500265,0,56.50226585538832,11078.829,32.693205496394896,2.500163,0.754675854920613
