cell_id,checkup_num,discharge_capacity_ah,bol_capacity_ah,duration_s,mean_current_a,min_voltage_v,soh,soh_delta,soh_pred_linear,soh_pred_rf,soh_pred_xgb
AC01,0,56.48159114221001,56.48159114221001,11070.408,27.547249422222222,2.50009,1.0,0.0,1.0241293012578296,0.9987617414845581,0.9995859
AC01,1,55.91300757153416,56.48159114221001,11975.144000000002,27.93696405232274,2.50009,0.9899332940312487,-0.010066705968751255,0.9978640431864262,0.9894074910386101,0.99112505
AC01,2,55.45037725150664,56.48159114221001,18275.024000000005,27.620310005940592,2.50009,0.9817424780384292,-0.008190815992819567,0.9715987851150226,0.9801881951765526,0.9809026
AC01,4,52.188336793041394,56.48159114221001,10700.773,27.743209959358285,2.50009,0.923988431233125,-0.05775404680530416,0.9190682689722156,0.9253171622448715,0.9241658
AC01,5,50.61765891594778,56.48159114221001,10563.948,25.87401827489837,2.50009,0.8961797621547531,-0.027808669078371873,0.8928030109008122,0.8985453713468687,0.89603525
AC01,6,49.73878790914279,56.48159114221001,10591.02,27.35755769505056,2.50009,0.8806194532287501,-0.01556030892600302,0.8665377528294086,0.8826590337009796,0.88028437
AC01,7,48.81769104472112,56.48159114221001,10417.076,26.70409732223983,2.50009,0.864311540406278,-0.016307912822472126,0.8402724947580051,0.8671898853326344,0.8648154
AC01,8,46.26555418984833,56.48159114221001,15677.272999999996,18.16001748020718,2.50009,0.8191262543110795,-0.04518528609519845,0.8140072366866016,0.8315366419949368,0.8181527
AC01,9,43.118922504873886,56.48159114221001,39500.831000000006,11.268649694134409,2.50009,0.7634155064135598,-0.05571074789751973,0.7877419786151981,0.784660349100548,0.7635322
AC01,11,36.038666423518606,56.48159114221001,23520.236,16.579099045504584,2.50009,0.6380603962232585,-0.12535511019030132,0.7352114624723911,0.706887364454427,0.6392963
AC02,0,56.50226585538832,56.50226585538832,11078.829,32.693205496394896,2.500163,1.0,0.0,1.0241293012578296,0.9987617414845581,0.99915624
AC02,1,55.6932187927286,56.50226585538832,11065.652,32.37885733503401,2.500163,0.9856811571994228,-0.014318842800577158,0.9978640431864262,0.9894074910386101,0.98636377
AC02,2,55.21242609247612,56.50226585538832,11051.363,32.114849354166665,2.500163,0.9771718931376412,-0.008509264061781652,0.9715987851150226,0.9801881951765526,0.97780275
AC02,3,54.26050661749335,56.50226585538832,11030.053999999998,31.620467653192737,2.500163,0.9603244364813168,-0.016847456656324367,0.9453335270436192,0.9647231687962304,0.95933235
AC02,4,52.14308544192112,56.50226585538832,10787.409,29.767081901904213,2.500163,0.9228494583805884,-0.03747497810072842,0.9190682689722156,0.9253171622448715,0.9225285
AC02,5,50.54926625868722,56.50226585538832,10531.382,31.866283469924813,2.500163,0.8946414005424634,-0.028208057838124967,0.8928030109008122,0.8985453713468687,0.8945488
AC02,6,49.8010899040811,56.50226585538832,10583.126,30.90749739441748,2.500163,0.8813998722023257,-0.013241528340137698,0.8665377528294086,0.8826590337009796,0.8821789
AC02,7,49.12723512903306,56.50226585538832,10477.797,30.73207192208589,2.500163,0.8694737172978003,-0.011926154904525421,0.8402724947580051,0.8671898853326344,0.86952996
AC02,9,45.38837251120527,56.50226585538832,16680.439,18.5511937509758,2.500163,0.8033018114242019,-0.06617190587359845,0.7877419786151981,0.784660349100548,0.80368274
AC02,10,44.31896268192639,56.50226585538832,28894.493,21.296120650248533,2.500163,0.7843749628617757,-0.018926848562426213,0.7614767205437947,0.780401493899355,0.7847261
AC02,11,42.640895789366944,56.50226585538832,30355.683,28.01664842137974,2.500265,0.754675854920613,-0.029699107941162706,0.7352114624723911,0.706887364454427,0.753579
